TIME [s]   SATELITE_I DISTANCE [m]        
0          01         25416899.7851347    
0          02         25768219.0439922    
0          03         28705215.450743     
0          04         31741456.4989481    
0          05         23612951.7522234    
0          06         24614472.213896     
0          07         23176048.5613791    
0          08         27900592.6201832    
0          09         24252316.8412628    
0          10         30096320.9737095    
0          11         24773647.5557481    
0          12         26367899.5405882    
0          13         22173976.9049026    
0          14         32952339.5450879    
0          15         25015026.1585218    
0          16         31626238.8491356    
0          17         20579030.8819658    
0          18         29384132.8271101    
0          19         21186052.8406828    
0          20         25505851.7759571    
0          21         30691084.5163153    
0          22         29556952.6731713    
0          23         26859554.6555802    
0          24         27429188.3911565    
0          25         29386103.3200262    
0          26         32121837.8480972    
0          27         30686721.8810632    
0          28         22534515.4454103    
0          29         31116748.7729763    
0          30         21912462.0409961    
0          31         31667993.5841784    
0          32         32802275.9314578    
900        01         25405902.2429935    
900        02         25507335.9309209    
900        03         28811135.3566396    
900        04         32112293.743893     
900        05         23802262.6851243    
900        06         24304180.9780944    
900        07         23330475.9826008    
900        08         28472197.6061191    
900        09         24856031.3998693    
900        10         29785484.3312881    
900        11         25015934.007394     
900        12         25979429.1575261    
900        13         21712631.7037401    
900        14         32957099.5813628    
900        15         24478366.0428179    
900        16         31735321.3316444    
900        17         20530817.6783292    
900        18         29119508.7470046    
900        19         20767372.0811928    
900        20         25486849.5820909    
900        21         30804612.3772084    
900        22         29578746.6560201    
900        23         27475756.0098194    
900        24         27093721.45501      
900        25         29012543.5867723    
900        26         32094611.7217848    
900        27         31141185.0188115    
900        28         22902852.783761     
900        29         30767559.2167073    
900        30         21914748.5848185    
900        31         31784773.7706819    
900        32         32638826.8246234    
1800       01         25454318.8592035    
1800       02         25197483.0759319    
1800       03         28862394.7941477    
1800       04         32428813.0701384    
1800       05         24015276.4404709    
1800       06         23958625.3661628    
1800       07         23524434.6149762    
1800       08         29026681.8367053    
1800       09         25469405.6433857    
1800       10         29501537.4051113    
1800       11         25327538.5560112    
1800       12         25626713.9292207    
1800       13         21314877.2990752    
1800       14         32901852.8265366    
1800       15         23976874.6780144    
1800       16         31806436.1333324    
1800       17         20577902.8213238    
1800       18         28890386.8301118    
1800       19         20429380.1918686    
1800       20         25516637.825895     
1800       21         30901077.0434771    
1800       22         29561498.077518     
1800       23         28071832.7146228    
1800       24         26726941.4455519    
1800       25         28656031.3597202    
1800       26         32046286.8241671    
1800       27         31551696.178729     
1800       28         23258409.8469302    
1800       29         30364368.1864327    
1800       30         21942637.5193068    
1800       31         31897527.6861066    
1800       32         32418089.7519391    
2700       01         25568178.6904139    
2700       02         24842682.795493     
2700       03         28864473.5188782    
2700       04         32687823.9166801    
2700       05         24238900.5045843    
2700       06         23587995.1540485    
2700       07         23763380.0603403    
2700       08         29554584.7535914    
2700       09         26080363.0725336    
2700       10         29252648.3618587    
2700       11         25703349.4960892    
2700       12         25309934.1449385    
2700       13         20993765.8444582    
2700       14         32786729.2632228    
2700       15         23522423.7588976    
2700       16         31845277.3419962    
2700       17         20718356.796524     
2700       18         28700145.417262     
2700       19         20184005.0742685    
2700       20         25586155.5931556    
2700       21         30972054.4932149    
2700       22         29512839.6691282    
2700       23         28637779.0818172    
2700       24         26328153.7090998    
2700       25         28319226.5153369    
2700       26         31982766.2974069    
2700       27         31912399.6163207    
2700       28         23593981.2366174    
2700       29         29913253.6893099    
2700       30         22004248.5848832    
2700       31         32000784.9781355    
2700       32         32142992.427867     
3600       01         25750699.08668      
3600       02         24448889.6266474    
3600       03         28824291.2821807    
3600       04         32887512.5978868    
3600       05         24460360.4852133    
3600       06         23204179.0892461    
3600       07         24051116.5770205    
3600       08         30047735.5159038    
3600       09         26677410.3352651    
3600       10         29045496.6453979    
3600       11         26135848.1177006    
3600       12         25027509.7062953    
3600       13         20760256.7169651    
3600       14         32613218.0948211    
3600       15         23126021.8117392    
3600       16         31857889.1660942    
3600       17         20946507.4707268    
3600       18         28550367.6031874    
3600       19         20039732.670681     
3600       20         25684950.3641854    
3600       21         31009589.3671614    
3600       22         29441253.7607964    
3600       23         29164691.3165732    
3600       24         25898083.5129059    
3600       25         28003340.5139466    
3600       26         31909641.8298529    
3600       27         32218873.7951112    
3600       28         23904242.5970707    
3600       29         29421458.6637637    
3600       30         22107294.9800836    
3600       31         32088570.4964323    
3600       32         31817834.8379512    
4500       01         26002092.8238853    
4500       02         24023928.6866436    
4500       03         28750043.464577     
4500       04         33027388.0130803    
4500       05         24667662.9710784    
4500       06         22820521.3251679    
4500       07         24389457.9107962    
4500       08         30499363.5024724    
4500       09         27249914.5491801    
4500       10         28884920.3041091    
4500       11         26615609.0589497    
4500       12         24776274.7285726    
4500       13         20622314.1119453    
4500       14         32384142.4122552    
4500       15         22797189.1457698    
4500       16         31850455.4293366    
4500       17         21253480.1515581    
4500       18         28440723.9513527    
4500       19         20000857.4496779    
4500       20         25801729.7895095    
4500       21         31006456.7971435    
4500       22         29355827.8372029    
4500       23         29644920.7765732    
4500       24         25439012.9500004    
4500       25         27708115.637707     
4500       26         31831969.7495102    
4500       27         32468145.6246552    
4500       28         24185772.5007613    
4500       29         28897240.1832048    
4500       30         22258564.4919986    
4500       31         32154665.954735     
4500       32         31448259.0046579    
5400       01         26319611.2520312    
5400       02         23577357.4729269    
5400       03         28651024.8959488    
5400       04         33108222.1932554    
5400       05         24849932.0377388    
5400       06         22451484.9896098    
5400       07         24778068.0956058    
5400       08         30904143.1123881    
5400       09         27788317.4121287    
5400       10         28773626.5055168    
5400       11         27131866.4223964    
5400       12         24551679.5811963    
5400       13         20584156.9931417    
5400       14         32103643.6482245    
5400       15         22543308.6927231    
5400       16         31829034.3566904    
5400       17         21627961.5836876    
5400       18         28368976.2784187    
5400       19         20067123.0873228    
5400       20         25924851.1964671    
5400       21         30956361.7363108    
5400       22         29265963.9279522    
5400       23         30072178.6866835    
5400       24         24954865.872318     
5400       25         27431866.1131643    
5400       26         31754064.6445892    
5400       27         32658668.1650363    
5400       28         24436991.6424737    
5400       29         28349691.7831183    
5400       30         22463417.866079     
5400       31         32192858.9667848    
5400       32         31041171.5868463    
6300       01         26697773.2482621    
6300       02         23120301.6996794    
6300       03         28537371.6370958    
6300       04         33131958.4102691    
6300       05         24997695.1836449    
6300       06         22112161.117844     
6300       07         25214425.6122698    
6300       08         31258207.3470493    
6300       09         28284290.1001209    
6300       10         28712040.9155899    
6300       11         27673081.0541553    
6300       12         24348155.2083676    
6300       13         20645820.4949144    
6300       14         31777143.153236     
6300       15         22369077.6517711    
6300       16         31799313.2134998    
6300       17         22057084.7532075    
6300       18         28331067.5360497    
6300       19         20233767.227508     
6300       20         26042829.9622946    
6300       21         30854137.0038206    
6300       22         29181058.284197     
6300       23         30441623.6676376    
6300       24         24451253.7973042    
6300       25         27171610.8169836    
6300       26         31679273.6566164    
6300       27         32790272.1498988    
6300       28         24658129.6382291    
6300       29         27788526.5074334    
6300       30         22725358.2750851    
6300       31         32197205.1363308    
6300       32         30604657.4863783    
7200       01         27128746.5831755    
7200       02         22665186.1242616    
7200       03         28419751.7875968    
7200       04         33101637.0131379    
7200       05         25103069.1798892    
7200       06         21817678.2276882    
7200       07         25693932.8296432    
7200       08         31559161.0092047    
7200       09         28730871.8489571    
7200       10         28698260.1364417    
7200       11         28227484.630513     
7200       12         24159455.4183901    
7200       13         20803086.7506054    
7200       14         31411253.1354847    
7200       15         22276112.4604969    
7200       16         31766388.9873677    
7200       17         22527231.7892169    
7200       18         28321288.7732056    
7200       19         20492055.7589643    
7200       20         26144735.7077855    
7200       21         30695905.9858887    
7200       22         29110151.5869935    
7200       23         30749884.2168092    
7200       24         23935475.3441387    
7200       25         26923271.2298225    
7200       26         31609862.2389935    
7200       27         32864113.4026002    
7200       28         24851108.296365     
7200       29         27223810.1810488    
7200       30         23045758.3179243    
7200       31         32162261.5908812    
7200       32         30147822.4621918    
8100       01         27602871.0576272    
8100       02         22225400.3394053    
8100       03         28309013.7383086    
8100       04         33021254.0911293    
8100       05         25159911.7536267    
8100       06         21582441.3673634    
8100       07         26210153.393537     
8100       08         31806022.8862884    
8100       09         29122537.0181914    
8100       10         28728140.8385731    
8100       11         28783531.2682003    
8100       12         23979085.7651199    
8100       13         21047804.0994547    
8100       14         31013685.5740491    
8100       15         22262762.8514175    
8100       16         31734513.76384      
8100       17         23024808.3322906    
8100       18         28332555.9795396    
8100       19         20830112.4180461    
8100       20         26220540.9654045    
8100       21         30479203.7056887    
8100       22         29061556.4615151    
8100       23         30995088.0775645    
8100       24         23416464.1599996    
8100       25         26681936.2297629    
8100       26         31546882.166667     
8100       27         32882569.3530367    
8100       28         25019408.5945601    
8100       29         26665687.6798708    
8100       30         23423679.6759574    
8100       31         32083314.5473722    
8100       32         29680600.2045813    
9000       01         28109199.0149607    
9000       02         21814841.2633213    
9000       03         28215762.8701408    
9000       04         32895642.7374843    
9000       05         25163919.3893851    
9000       06         21419295.3946096    
9000       07         26755115.9456499    
9000       08         31999159.913599     
