TIME [s]   ID         DISTANCE [m]   
0          PE05       25285828.042439
5          PE05       25343827.789961
10         PE05       25399957.311714
15         PE05       25454136.389138
20         PE05       25506292.877259
25         PE05       25556371.431355
30         PE05       25604341.168741
35         PE05       25650175.317365
40         PE05       25693866.761172
45         PE05       25735420.916353
50         PE05       25774861.035734
55         PE05       25812223.737108
60         PE05       25847552.920910
65         PE05       25880919.468506
70         PE05       25912396.130534
75         PE05       25942076.272176
80         PE05       25970062.131842
85         PE05       25996469.324112
90         PE05       26021427.023538
95         PE05       26045069.078862
100        PE05       26067545.692744
105        PE05       26089021.884801
110        PE05       26109661.864211
115        PE05       26129639.183797
120        PE05       26149146.633015
125        PE05       26168376.443229
130        PE05       26187519.917616
135        PE05       26206786.507201
140        PE05       26226387.891759
145        PE05       26246530.262534
150        PE05       26267434.905943
155        PE05       26289312.988642
160        PE05       26312382.285941
165        PE05       26336864.604596
170        PE05       26362976.288467
175        PE05       26390923.786979
180        PE05       26420918.768933
185        PE05       26453168.293596
190        PE05       26487871.025270
195        PE05       26525216.624480
200        PE05       26565389.609749
205        PE05       26608571.204946
210        PE05       26654916.518130
215        PE05       26704590.661726
220        PE05       26757726.617432
225        PE05       26814462.318538
230        PE05       26874913.695323
235        PE05       26939180.009277
240        PE05       27007349.213184
245        PE05       27079497.702572
250        PE05       27155681.321589
255        PE05       27235940.993213
260        PE05       27320301.035600
265        PE05       27408770.772221
270        PE05       27501338.444096
275        PE05       27597980.414215
280        PE05       27698655.041514
285        PE05       27803302.650229
290        PE05       27911847.485128
295        PE05       28024199.062494
300        PE05       28140253.496075
305        PE05       28259883.849433
310        PE05       28382956.601913
315        PE05       28509320.874338
320        PE05       28638815.087011
325        PE05       28771265.340789
330        PE05       28906474.896127
335        PE05       29044254.382570
340        PE05       29184391.121831
345        PE05       29326670.685837
350        PE05       29470862.048327
355        PE05       29616732.006713
360        PE05       29764044.278898
365        PE05       29912549.713859
370        PE05       30061999.839339
375        PE05       30212137.433484
380        PE05       30362707.816340
385        PE05       30513452.734152
390        PE05       30664103.434724
395        PE05       30814408.038264
400        PE05       30964100.564759
405        PE05       31112926.772432
410        PE05       31260619.879296
415        PE05       31406935.104495
420        PE05       31551610.766928
425        PE05       31694408.000827
430        PE05       31835081.613541
435        PE05       31973392.762818
440        PE05       32109111.431247
445        PE05       32242011.804901
450        PE05       32371876.452653
455        PE05       32498495.387061
460        PE05       32621665.004733
465        PE05       32741193.060684
470        PE05       32856892.253441
475        PE05       32968590.500698
480        PE05       33076116.486730
485        PE05       33179318.147884
490        PE05       33278047.879471
495        PE05       33372172.144435
500        PE05       33461563.790984
505        PE05       33546112.182015
510        PE05       33625715.69737 
515        PE05       33700281.258319
520        PE05       33769733.942759
525        PE05       33834007.034991
530        PE05       33893039.945224
535        PE05       33946800.618025
540        PE05       33995247.913331
545        PE05       34038374.483868
550        PE05       34076169.399408
555        PE05       34108644.239510
560        PE05       34135817.838273
565        PE05       34157718.050782
570        PE05       34174397.340576
575        PE05       34185910.792082
580        PE05       34192331.737473
585        PE05       34193737.055818
590        PE05       34190224.894389
595        PE05       34181899.327603
600        PE05       34168885.909910
605        PE05       34151314.452016
610        PE05       34129323.027894
615        PE05       34103069.696345
620        PE05       34072719.531158
625        PE05       34038448.292702
630        PE05       34000443.130756
635        PE05       33958900.218807
640        PE05       33914029.559753
645        PE05       33866040.300448
650        PE05       33815165.267235
655        PE05       33761636.810446
660        PE05       33705692.432583
665        PE05       33647583.232806
670        PE05       33587567.542628
675        PE05       33525908.811907
680        PE05       33462866.015575
685        PE05       33398720.073365
690        PE05       33333744.640761
695        PE05       33268219.679276
700        PE05       33202426.956385
705        PE05       33136653.085194
710        PE05       33071173.687296
715        PE05       33006282.194671
720        PE05       32942258.384966
725        PE05       32879383.173318
730        PE05       32817934.369413
735        PE05       32758185.539955
740        PE05       32700403.382737
745        PE05       32644852.242426
750        PE05       32591786.242451
755        PE05       32541453.206997
760        PE05       32494087.241934
765        PE05       32449915.223400
770        PE05       32409156.797091
775        PE05       32372013.691903
780        PE05       32338672.348872
785        PE05       32309313.171765
