TIME [s]   DISTANCE [m]   
0          32059595.9406586    
5          31997222.1258229    
10         31936881.3478335    
15         31878525.8027985    
20         31822090.3396263    
25         31767502.7082391    
30         31714673.5025513    
35         31663507.4460517    
40         31613899.6025961    
45         31565732.5702747    
50         31518874.9186075    
55         31473200.9476214    
60         31428566.3947442    
65         31384819.5797699    
70         31341809.2693014    
75         31299372.9114532    
80         31257340.3848532    
85         31215547.9365265    
90         31173822.7502853    
95         31131982.6370622    
100        31089852.7583142    
105        31047251.0307233    
110        31004004.718786     
115        30959934.4866576    
120        30914857.6189146    
125        30868601.6823742    
130        30820991.1196885    
135        30771862.3990998    
140        30721049.8645718    
145        30668388.1693982    
150        30613726.9271881    
155        30556918.118865     
160        30497818.6553277    
165        30436295.5928598    
170        30372222.7443471    
175        30305482.4681288    
180        30235967.9960003    
185        30163573.4140704    
190        30088218.1525318    
195        30009820.9506538    
200        29928314.7356909    
205        29843639.0519248    
210        29755753.8575442    
215        29664626.3502052    
220        29570234.8774968    
225        29472572.2839902    
230        29371642.178905     
235        29267460.7347643    
240        29160065.5889598    
245        29049498.3567545    
250        28935818.2925917    
255        28819095.9269573    
260        28699419.6138561    
265        28576886.8351288    
270        28451615.0331517    
275        28323727.2669686    
280        28193372.464005     
285        28060696.8587867    
290        27925877.5030741    
295        27789097.6209998    
300        27650547.6845221    
305        27510437.663769     
310        27368994.9534688    
315        27226452.8558385    
320        27083054.9013089    
325        26939062.9229443    
330        26794746.6102649    
335        26650382.7897666    
340        26506265.3001704    
345        26362691.2146561    
350        26219969.0885118    
355        26078414.0611239    
360        25938349.7875264    
365        25800097.0076881    
370        25663993.7662931    
375        25530373.8005415    
380        25399572.4946851    
385        25271927.5020538    
390        25147773.4809016    
395        25027446.213801     
400        24911280.0119564    
405        24799591.6089157    
410        24692702.3187505    
415        24590921.1093959    
420        24494545.2742689    
425        24403858.3728838    
430        24319136.6245166    
435        24240625.9015573    
440        24168574.5507508    
445        24103194.5281742    
450        24044681.677604     
455        23993217.562601     
460        23948952.0073014    
465        23912013.6059655    
470        23882503.7466266    
475        23860493.8404165    
480        23846037.4975718    
485        23839151.3533662    
490        23839829.911162     
495        23848037.639968     
500        23863711.4170913    
505        23886755.3683362    
510        23917055.6319827    
515        23954465.8628787    
520        23998818.1597661    
525        24049909.7638232    
530        24107527.1864413    
535        24171429.5254728    
540        24241354.6982811    
545        24317024.7568426    
550        24398135.1751465    
555        24484376.3993753    
560        24575418.9012785    
565        24670924.1151984    
570        24770537.1652759    
575        24873901.1397006    
580        24980644.5776713    
585        25090396.8465877    
590        25202776.2328798    
595        25317409.0280094    
