TIME [min]      ID         DISTANCE [m]   
0               PE09       28429132.523051
5               PE09       28498565.119639
10              PE09       28565377.356740
15              PE09       28629660.175046
20              PE09       28691518.973965
25              PE09       28751058.970187
30              PE09       28808408.964014
35              PE09       28863700.848188
40              PE09       28917077.545432
45              PE09       28968678.428732
50              PE09       29018670.940031
55              PE09       29067209.817661
60              PE09       29114469.626566
65              PE09       29160622.656816
70              PE09       29205848.522259
75              PE09       29250330.610937
80              PE09       29294253.949699
85              PE09       29337809.024102
90              PE09       29381180.032817
95              PE09       29424565.291974
100             PE09       29468146.906324
105             PE09       29512118.207375
110             PE09       29556665.692398
115             PE09       29601975.546254
120             PE09       29648225.190243
125             PE09       29695587.141470
130             PE09       29744237.266659
135             PE09       29794337.201651
140             PE09       29846046.757360
145             PE09       29899507.541863
150             PE09       29954866.469512
155             PE09       30012253.472161
160             PE09       30071788.226654
165             PE09       30133581.499489
170             PE09       30197732.215935
175             PE09       30264328.184748
180             PE09       30333443.471362
185             PE09       30405143.430824
190             PE09       30479470.373243
195             PE09       30556466.780621
200             PE09       30636153.059989
205             PE09       30718538.187477
210             PE09       30803616.807863
215             PE09       30891367.155193
220             PE09       30981759.647155
225             PE09       31074746.590071
230             PE09       31170268.686935
235             PE09       31268251.650077
240             PE09       31368609.925250
245             PE09       31471244.687298
250             PE09       31576043.489374
255             PE09       31682883.663617
260             PE09       31791632.147649
265             PE09       31902144.383676
270             PE09       32014263.650342
275             PE09       32127826.315312
280             PE09       32242661.559204
285             PE09       32358583.699593
290             PE09       32475405.523090
295             PE09       32592933.646669
300             PE09       32710968.278972
305             PE09       32829297.598116
310             PE09       32947710.359193
315             PE09       33065997.273533
320             PE09       33183937.160059
325             PE09       33301312.487707
330             PE09       33417899.379378
335             PE09       33533479.888098
340             PE09       33647824.896512
345             PE09       33760719.521479
350             PE09       33871942.849631
355             PE09       33981273.295637
360             PE09       34088503.214295
365             PE09       34193412.250056
370             PE09       34295797.180088
375             PE09       34395455.019238
380             PE09       34492189.637838
385             PE09       34585803.138711
390             PE09       34676114.666769
395             PE09       34762941.446921
400             PE09       34846113.835741
405             PE09       34925468.304613
410             PE09       35000845.372236
415             PE09       35072094.053392
420             PE09       35139083.547474
425             PE09       35201680.902857
430             PE09       35259760.200719
435             PE09       35313218.200326
440             PE09       35361952.636538
445             PE09       35405874.087508
450             PE09       35444901.871146
455             PE09       35478972.855192
460             PE09       35508020.874604
465             PE09       35532007.798310
470             PE09       35550901.002716
475             PE09       35564672.34373 
480             PE09       35573312.759456
485             PE09       35576826.300594
490             PE09       35575220.481072
495             PE09       35568528.827140
500             PE09       35556784.843282
505             PE09       35540032.520519
510             PE09       35518341.567801
