TIME [min]      ID         DISTANCE [m]   
0               PG24       33007692.211026
5               PG24       33054100.479042
10              PG24       33093993.255281
15              PG24       33127404.648305
20              PG24       33154377.150228
25              PG24       33174979.477694
30              PG24       33189284.970715
35              PG24       33197378.664570
40              PG24       33199364.043696
45              PG24       33195355.294009
50              PG24       33185472.162763
55              PG24       33169854.279783
60              PG24       33148641.841881
65              PG24       33121998.236414
70              PG24       33090085.894515
75              PG24       33053079.526262
80              PG24       33011164.424780
85              PG24       32964524.394567
90              PG24       32913358.175135
95              PG24       32857873.528834
100             PG24       32798274.217754
105             PG24       32734778.201090
110             PG24       32667599.569348
115             PG24       32596958.015439
120             PG24       32523080.323058
125             PG24       32446190.076389
130             PG24       32366514.604725
135             PG24       32284274.713185
140             PG24       32199700.838922
145             PG24       32113016.20913 
150             PG24       32024436.081945
155             PG24       31934184.393721
160             PG24       31842472.289156
165             PG24       31749508.488095
170             PG24       31655496.811667
175             PG24       31560632.133098
180             PG24       31465106.051386
185             PG24       31369094.325936
190             PG24       31272768.120901
195             PG24       31176296.640940
200             PG24       31079825.810023
205             PG24       30983493.902325
210             PG24       30887436.080375
215             PG24       30791765.961260
220             PG24       30696588.141346
225             PG24       30601993.484099
230             PG24       30508058.636479
235             PG24       30414849.099558
240             PG24       30322412.971254
245             PG24       30230785.852663
250             PG24       30139990.182495
255             PG24       30050033.982710
260             PG24       29960904.399308
265             PG24       29872586.255362
270             PG24       29785043.293309
275             PG24       29698227.197239
280             PG24       29612069.654165
285             PG24       29526504.862516
290             PG24       29441442.465110
295             PG24       29356787.419855
300             PG24       29272426.409961
305             PG24       29188242.357905
310             PG24       29104106.368305
315             PG24       29019882.545885
320             PG24       28935427.309072
325             PG24       28850590.531745
330             PG24       28765214.637095
335             PG24       28679138.537871
340             PG24       28592199.860305
345             PG24       28504229.556932
350             PG24       28415061.658933
355             PG24       28324528.738533
360             PG24       28232463.318240
365             PG24       28138700.885134
370             PG24       28043081.713624
375             PG24       27945441.444311
380             PG24       27845636.510714
385             PG24       27743519.677626
390             PG24       27638951.618028
395             PG24       27531807.119878
400             PG24       27421963.365257
405             PG24       27309314.317642
410             PG24       27193762.605717
415             PG24       27075220.815179
420             PG24       26953624.110609
425             PG24       26828913.952546
430             PG24       26701050.416631
435             PG24       26570003.873342
440             PG24       26435770.172374
445             PG24       26298357.794304
450             PG24       26157789.215817
455             PG24       26014112.615865
460             PG24       25867394.754393
465             PG24       25717709.905256
470             PG24       25565173.193688
475             PG24       25409898.663349
480             PG24       25252033.072581
485             PG24       25091742.292479
490             PG24       24929213.483868
495             PG24       24764650.441126
500             PG24       24598283.132822
505             PG24       24430360.128187
510             PG24       24261149.734077
515             PG24       24090937.842225
520             PG24       23920041.624240
525             PG24       23748785.409877
530             PG24       23577520.382461
535             PG24       23406615.010751
540             PG24       23236444.944746
545             PG24       23067419.188082
550             PG24       22899950.551298
555             PG24       22734468.484009
560             PG24       22571414.862577
565             PG24       22411242.917925
570             PG24       22254411.278812
575             PG24       22101390.956946
580             PG24       21952653.494134
585             PG24       21808670.334799
590             PG24       21669916.454678
595             PG24       21536866.035788
600             PG24       21409973.401946
605             PG24       21289701.521080
610             PG24       21176487.975545
615             PG24       21070755.461379
620             PG24       20972914.990892
625             PG24       20883346.271080
630             PG24       20802406.173841
635             PG24       20730423.212239
640             PG24       20667693.789608
645             PG24       20614477.746978
650             PG24       20570995.823366
655             PG24       20537434.052663
660             PG24       20513929.814452
665             PG24       20500581.532087
670             PG24       20497441.877210
675             PG24       20504516.829152
680             PG24       20521770.206239
685             PG24       20549111.704721
690             PG24       20586411.995420
695             PG24       20633503.545383
700             PG24       20690167.028686
705             PG24       20756149.206003
710             PG24       20831148.231586
715             PG24       20914840.143477
720             PG24       21006860.039918
725             PG24       21106814.108575
730             PG24       21214281.420846
735             PG24       21328817.530177
740             PG24       21449957.092578
745             PG24       21577217.116261
750             PG24       21710100.257909
755             PG24       21848099.904194
760             PG24       21990692.113347
765             PG24       22137363.040181
770             PG24       22287578.213168
775             PG24       22440819.841748
780             PG24       22596555.979358
785             PG24       22754272.109084
790             PG24       22913452.047358
795             PG24       23073590.787064
800             PG24       23234190.596771
805             PG24       23394762.542456
810             PG24       23554838.524934
815             PG24       23713955.373385
820             PG24       23871673.701159
825             PG24       24027555.184917
830             PG24       24181191.937752
835             PG24       24332188.139332
840             PG24       24480168.123134
845             PG24       24624764.469716
850             PG24       24765644.835763
855             PG24       24902481.089963
860             PG24       25034975.883991
865             PG24       25162848.912478
870             PG24       25285831.18864 
875             PG24       25403689.975697
880             PG24       25516200.347375
885             PG24       25623167.732911
890             PG24       25724410.602428
895             PG24       25819771.176188
900             PG24       25909119.768678
905             PG24       25992338.123210
910             PG24       26069337.721310
915             PG24       26140048.252428
920             PG24       26204421.178886
925             PG24       26262424.980814
930             PG24       26314063.116196
935             PG24       26359350.120581
940             PG24       26398325.707392
945             PG24       26431051.011438
950             PG24       26457611.976946
955             PG24       26478110.192202
960             PG24       26492673.061346
965             PG24       26501447.792701
970             PG24       26504609.469578
975             PG24       26502344.800796
980             PG24       26494870.755576
