TIME [s]   ID         DISTANCE [m]   
0          PG31       21919420.276449
5          PG31       22084682.871110
10         PG31       22256265.546304
15         PG31       22433598.207384
20         PG31       22616113.261192
25         PG31       22803233.749390
30         PG31       22994400.233264
35         PG31       23189048.213579
40         PG31       23386626.441005
45         PG31       23586587.916473
50         PG31       23788406.554719
55         PG31       23991568.833441
60         PG31       24195571.703712
65         PG31       24399940.108650
70         PG31       24604210.556392
75         PG31       24807940.419021
80         PG31       25010710.361461
85         PG31       25212116.641027
90         PG31       25411782.298198
95         PG31       25609353.101140
100        PG31       25804495.527151
105        PG31       25996897.861668
110        PG31       26186271.947217
115        PG31       26372354.066588
120        PG31       26554895.896215
125        PG31       26733683.705323
130        PG31       26908515.770364
135        PG31       27079220.686922
140        PG31       27245635.126276
145        PG31       27407636.838298
150        PG31       27565103.069460
155        PG31       27717951.642391
160        PG31       27866105.522501
165        PG31       28009514.396302
170        PG31       28148146.637481
175        PG31       28281987.370023
180        PG31       28411038.341783
185        PG31       28535325.959037
190        PG31       28654879.889339
195        PG31       28769757.708885
200        PG31       28880026.956769
205        PG31       28985775.374558
210        PG31       29087095.603479
215        PG31       29184099.787665
220        PG31       29276913.720570
225        PG31       29365666.600010
230        PG31       29450502.653758
235        PG31       29531582.421453
240        PG31       29609069.423851
245        PG31       29683129.588117
250        PG31       29753946.138629
255        PG31       29821699.424177
260        PG31       29886589.101790
265        PG31       29948800.404447
270        PG31       30008532.128863
275        PG31       30065989.317920
280        PG31       30121368.557768
285        PG31       30174874.051359
290        PG31       30226703.265605
295        PG31       30277057.188060
300        PG31       30326130.382792
305        PG31       30374115.282405
310        PG31       30421200.015986
315        PG31       30467560.671844
320        PG31       30513376.344981
325        PG31       30558812.906313
330        PG31       30604029.515215
335        PG31       30649168.053385
340        PG31       30694372.451724
345        PG31       30739769.788311
350        PG31       30785473.547322
355        PG31       30831587.453167
360        PG31       30878203.416113
365        PG31       30925393.047525
370        PG31       30973218.967377
375        PG31       31021734.285078
380        PG31       31070968.815592
385        PG31       31120939.073044
390        PG31       31171649.344348
395        PG31       31223088.900802
400        PG31       31275230.350099
405        PG31       31328033.725646
410        PG31       31381434.364109
415        PG31       31435366.051281
420        PG31       31489741.747462
425        PG31       31544460.738194
430        PG31       31599409.190222
435        PG31       31654460.525504
440        PG31       31709476.032860
445        PG31       31764306.277850
450        PG31       31818782.648037
455        PG31       31872739.142251
460        PG31       31925994.680561
465        PG31       31978353.121046
470        PG31       32029622.302879
475        PG31       32079596.542825
480        PG31       32128061.826131
485        PG31       32174804.711052
490        PG31       32219605.915839
495        PG31       32262242.619345
500        PG31       32302492.050649
505        PG31       32340122.888598
510        PG31       32374913.213694
515        PG31       32406641.073610
520        PG31       32435079.502135
525        PG31       32460013.249753
530        PG31       32481223.107081
535        PG31       32498501.048909
540        PG31       32511637.831588
545        PG31       32520440.892717
550        PG31       32524718.350619
555        PG31       32524282.191208
560        PG31       32518966.952944
565        PG31       32508605.657935
570        PG31       32493047.554619
575        PG31       32472151.183536
580        PG31       32445789.167969
585        PG31       32413847.857875
590        PG31       32376220.327277
595        PG31       32332821.189693
600        PG31       32283574.311780
605        PG31       32228428.517054
610        PG31       32167337.091302
615        PG31       32100274.920329
620        PG31       32027234.079049
625        PG31       31948217.040633
630        PG31       31863253.160030
635        PG31       31772383.131110
640        PG31       31675666.469760
645        PG31       31573179.878095
650        PG31       31465022.510872
655        PG31       31351307.901765
660        PG31       31232162.631136
665        PG31       31107745.356085
670        PG31       30978223.023712
675        PG31       30843779.120544
680        PG31       30704623.313378
685        PG31       30560976.237942
690        PG31       30413082.108357
695        PG31       30261194.838687
700        PG31       30105587.772667
705        PG31       29946557.077472
710        PG31       29784408.382441
715        PG31       29619462.070694
720        PG31       29452058.940714
725        PG31       29282542.730976
730        PG31       29111285.659927
735        PG31       28938653.992067
740        PG31       28765045.010271
745        PG31       28590846.188366
750        PG31       28416463.367663
755        PG31       28242314.970634
760        PG31       28068814.456776
765        PG31       27896387.242601
770        PG31       27725459.489062
775        PG31       27556452.587207
780        PG31       27389792.964221
785        PG31       27225909.708852
790        PG31       27065215.411934
795        PG31       26908123.267114
800        PG31       26755037.341266
805        PG31       26606349.792672
810        PG31       26462432.859459
815        PG31       26323654.582105
820        PG31       26190362.042669
825        PG31       26062876.284403
830        PG31       25941503.694244
835        PG31       25826522.642122
840        PG31       25718188.572355
845        PG31       25616725.807118
850        PG31       25522325.361793
855        PG31       25435161.108575
860        PG31       25355361.493345
865        PG31       25283022.829247
870        PG31       25218214.072159
875        PG31       25160963.681294
880        PG31       25111265.680170
885        PG31       25069081.663474
890        PG31       25034327.406442
895        PG31       25006895.871847
900        PG31       24986643.003579
905        PG31       24973388.176042
910        PG31       24966920.063997
915        PG31       24966997.039875
920        PG31       24973350.830473
925        PG31       24985676.885413
930        PG31       25003654.546283
935        PG31       25026940.046383
940        PG31       25055165.056392
945        PG31       25087938.991803
950        PG31       25124859.663121
955        PG31       25165512.231783
960        PG31       25209464.327842
965        PG31       25256279.494363
970        PG31       25305510.217936
975        PG31       25356705.230077
980        PG31       25409409.493405
985        PG31       25463169.547670
990        PG31       25517526.152024
995        PG31       25572032.168357
1000       PG31       25626239.180197
1005       PG31       25679709.813124
1010       PG31       25732005.513904
1015       PG31       25782705.183843
1020       PG31       25831400.463089
1025       PG31       25877683.836787
1030       PG31       25921174.407827
1035       PG31       25961497.584499
1040       PG31       25998290.456548
1045       PG31       26031215.314710
1050       PG31       26059944.534762
1055       PG31       26084173.494721
1060       PG31       26103611.338527
1065       PG31       26117988.737409
1070       PG31       26127051.741030
1075       PG31       26130572.177761
1080       PG31       26128338.795300
1085       PG31       26120162.428111
1090       PG31       26105875.106899
1095       PG31       26085326.875544
1100       PG31       26058395.178974
1105       PG31       26024978.782441
1110       PG31       25984996.658646
1115       PG31       25938392.320553
1120       PG31       25885129.680239
1125       PG31       25825200.774373
1130       PG31       25758616.862644
