TIME [s]   DISTANCE [m]   
0          32802275.9314578    
900        32638826.8246234    
1800       32418089.7519391    
2700       32142992.427867     
3600       31817834.8379512    
4500       31448259.0046579    
5400       31041171.5868463    
6300       30604657.4863783    
7200       30147822.4621918    
8100       29680600.2045813    
9000       29213495.3653135    
9900       28757274.1030737    
10800      28322597.1430893    
11700      27919586.6893974    
12600      27557380.1906092    
13500      27243662.3656759    
14400      26984236.6247361    
15300      26782661.6698898    
16200      26640003.6214182    
17100      26554752.9764414    
18000      26522859.8103877    
18900      26537968.5811172    
19800      26591763.3796716    
20700      26674412.1646492    
21600      26775061.3052033    
22500      26882346.1225346    
23400      26984852.0491064    
24300      27071565.0826726    
25200      27132228.3797447    
26100      27157638.3943432    
27000      27139895.2223696    
27900      27072572.5875515    
28800      26950878.4909771    
29700      26771734.2060055    
30600      26533856.0926267    
31500      26237796.7782142    
32400      25885966.6420849    
33300      25482647.4236588    
34200      25033980.5193106    
35100      24547924.3309304    
36000      24034185.5641445    
36900      23504106.344261     
37800      22970485.4269164    
38700      22447312.3329312    
39600      21949392.7916127    
40500      21491840.5969477    
41400      21089430.9414639    
42300      20755830.6243812    
43200      20502749.8485725    
44100      20339122.4791578    
45000      20270405.7131811    
45900      20298160.2103163    
46800      20419946.5010007    
47700      20629599.7317371    
48600      20917843.3148537    
49500      21273074.8661118    
50400      21682260.9869312    
51300      22131797.7958511    
52200      22608245.1945545    
53100      23098929.5795502    
54000      23592384.0700633    
54900      24078643.0113107    
55800      24549413.9255338    
56700      24998194.8025941    
57600      25420263.1083273    
58500      25812656.6600468    
59400      26174092.5133898    
60300      26504850.8348402    
61200      26806634.6200818    
62100      27082377.3232353    
63000      27336057.850293     
63900      27572434.9605462    
64800      27796809.8231229    
65700      28014718.8056541    
66600      28231656.1839965    
67500      28452765.2475419    
68400      28682541.3965767    
69300      28924604.3572743    
70200      29181440.0739149    
71100      29454278.6897269    
72000      29742975.2327382    
72900      30045996.374962     
73800      30360475.1002122    
74700      30682321.4337424    
75600      31006380.6729339    
76500      31326668.0532935    
77400      31636585.2361915    
78300      31929193.2204331    
79200      32197436.489528     
80100      32434422.9534227    
81000      32633624.4171662    
81900      32789096.8345487    
82800      32895662.2421556    
83700      32949070.3568521    
84600      32946130.2743042    
85500      32884822.9275112    
