TIME [min]      ID         DISTANCE [m]   
0               PR13       29901199.304048
5               PR13       30059982.729898
10              PR13       30214423.044405
15              PR13       30364053.782872
20              PR13       30508442.041580
25              PR13       30647162.270723
30              PR13       30779823.773390
35              PR13       30906049.189584
40              PR13       31025489.020845
45              PR13       31137818.508252
50              PR13       31242736.384009
55              PR13       31339958.366949
60              PR13       31429238.982747
65              PR13       31510349.413544
70              PR13       31583086.633833
75              PR13       31647274.957885
80              PR13       31702764.165060
85              PR13       31749425.709442
90              PR13       31787161.263420
95              PR13       31815896.467759
100             PR13       31835583.202126
105             PR13       31846194.367092
110             PR13       31847729.607064
115             PR13       31840213.037482
120             PR13       31823699.479597
125             PR13       31798260.435446
130             PR13       31763990.789618
135             PR13       31721013.680497
140             PR13       31669469.867052
145             PR13       31609528.541436
150             PR13       31541376.679303
155             PR13       31465220.647387
160             PR13       31381294.949206
165             PR13       31289848.162047
170             PR13       31191146.952037
175             PR13       31085481.762777
180             PR13       30973163.258032
185             PR13       30854504.488431
190             PR13       30729853.927025
195             PR13       30599566.216869
200             PR13       30464000.593226
205             PR13       30323548.080402
210             PR13       30178601.167593
215             PR13       30029557.755680
220             PR13       29876837.908734
225             PR13       29720859.911318
230             PR13       29562050.800255
235             PR13       29400845.188436
240             PR13       29237677.317538
245             PR13       29072987.920626
250             PR13       28907207.677850
255             PR13       28740778.618431
260             PR13       28574130.120519
265             PR13       28407689.910770
270             PR13       28241872.986525
275             PR13       28077093.818009
280             PR13       27913742.904354
285             PR13       27752209.279835
290             PR13       27592860.510737
295             PR13       27436047.148326
300             PR13       27282103.710096
305             PR13       27131331.669459
310             PR13       26984027.311014
315             PR13       26840449.277954
320             PR13       26700835.873307
325             PR13       26565391.247512
330             PR13       26434296.184474
335             PR13       26307702.635217
340             PR13       26185726.953777
345             PR13       26068455.930409
350             PR13       25955946.840335
355             PR13       25848212.285998
360             PR13       25745251.174964
365             PR13       25647016.877875
370             PR13       25553435.865524
375             PR13       25464403.711522
380             PR13       25379780.390774
385             PR13       25299407.779121
390             PR13       25223087.702722
395             PR13       25150606.347545
400             PR13       25081722.221299
405             PR13       25016167.136878
410             PR13       24953662.989395
415             PR13       24893899.558435
420             PR13       24836564.646479
425             PR13       24781329.684678
430             PR13       24727843.587464
435             PR13       24675763.141222
440             PR13       24624729.696762
445             PR13       24574387.39085 
450             PR13       24524367.192232
455             PR13       24474316.348816
460             PR13       24423879.435469
465             PR13       24372702.421686
470             PR13       24320447.783765
475             PR13       24266785.568165
480             PR13       24211391.350760
485             PR13       24153966.245150
490             PR13       24094222.238731
495             PR13       24031888.183424
500             PR13       23966713.716135
505             PR13       23898471.094170
510             PR13       23826954.801598
515             PR13       23751983.274538
520             PR13       23673399.025229
525             PR13       23591073.964015
530             PR13       23504908.340691
535             PR13       23414824.317509
540             PR13       23320782.094503
545             PR13       23222770.839783
550             PR13       23120809.484087
555             PR13       23014951.545385
560             PR13       22905277.405455
565             PR13       22791905.588302
570             PR13       22674993.089373
575             PR13       22554724.763956
580             PR13       22431320.280946
585             PR13       22305039.918856
590             PR13       22176166.943681
595             PR13       22045034.118455
600             PR13       21911995.820356
605             PR13       21777453.596062
610             PR13       21641830.749385
615             PR13       21505585.328600
620             PR13       21369215.471533
625             PR13       21233243.639532
630             PR13       21098217.433711
635             PR13       20964719.920866
640             PR13       20833352.440412
645             PR13       20704744.453685
650             PR13       20579536.915137
655             PR13       20458395.377273
660             PR13       20341992.749716
665             PR13       20231014.201681
670             PR13       20126138.613466
675             PR13       20028056.097077
680             PR13       19937443.455475
685             PR13       19854967.953838
690             PR13       19781275.834280
695             PR13       19716993.340226
700             PR13       19662710.452382
705             PR13       19618985.642161
710             PR13       19586331.336305
715             PR13       19565214.744033
720             PR13       19556048.733561
725             PR13       19559184.667732
730             PR13       19574910.525088
735             PR13       19603451.283221
740             PR13       19644959.002251
745             PR13       19699514.532830
750             PR13       19767122.447878
755             PR13       19847724.118023
760             PR13       19941174.743639
765             PR13       20047269.086165
770             PR13       20165728.426699
775             PR13       20296217.822610
780             PR13       20438328.721583
785             PR13       20591605.705162
790             PR13       20755538.254606
795             PR13       20929569.703895
800             PR13       21113104.021864
805             PR13       21305502.374883
810             PR13       21506107.309286
815             PR13       21714225.962372
820             PR13       21929156.559415
825             PR13       22150172.083853
830             PR13       22376544.116837
835             PR13       22607529.405354
840             PR13       22842393.352751
845             PR13       23080398.488777
850             PR13       23320813.512798
855             PR13       23562916.465852
860             PR13       23805989.331942
865             PR13       24049342.565453
870             PR13       24292294.692156
875             PR13       24534172.766755
880             PR13       24774341.605927
885             PR13       25012175.087801
890             PR13       25247072.57897 
895             PR13       25478451.306936
900             PR13       25705764.427221
905             PR13       25928478.371999
910             PR13       26146093.428600
915             PR13       26358128.707594
920             PR13       26564138.980430
925             PR13       26763697.139488
930             PR13       26956405.621491
935             PR13       27141900.258452
940             PR13       27319841.686385
945             PR13       27489915.625435
950             PR13       27651842.924440
955             PR13       27805359.143051
960             PR13       27950247.056358
965             PR13       28086307.490181
970             PR13       28213369.558448
975             PR13       28331288.883588
980             PR13       28439962.023736
985             PR13       28539302.401013
990             PR13       28629257.431654
995             PR13       28709800.936771
1000            PR13       28780938.387988
1005            PR13       28842700.840555
1010            PR13       28895148.548892
1015            PR13       28938371.994809
1020            PR13       28972492.583552
1025            PR13       28997646.568832
1030            PR13       29014015.387585
1035            PR13       29021798.819268
1040            PR13       29021225.512241
1045            PR13       29012549.796633
1050            PR13       28996055.529547
1055            PR13       28972047.086401
1060            PR13       28940863.692915
1065            PR13       28902857.602431
1070            PR13       28858416.245838
1075            PR13       28807944.392865
1080            PR13       28751871.580883
1085            PR13       28690644.703642
1090            PR13       28624737.417038
1095            PR13       28554639.031585
1100            PR13       28480856.169361
1105            PR13       28403914.535426
1110            PR13       28324350.348773
1115            PR13       28242717.070297
1120            PR13       28159578.199682
1125            PR13       28075501.357242
1130            PR13       27991067.216651
1135            PR13       27906854.879948
1140            PR13       27823454.810235
1145            PR13       27741449.045375
1150            PR13       27661408.644651
1155            PR13       27583916.228981
1160            PR13       27509527.012089
1165            PR13       27438795.573312
1170            PR13       27372253.404505
1175            PR13       27310409.200140
1180            PR13       27253762.365514
1185            PR13       27202770.991459
1190            PR13       27157875.285529
1195            PR13       27119476.075037
1200            PR13       27087942.677113
1205            PR13       27063606.830891
1210            PR13       27046754.994350
1215            PR13       27037638.955863
1220            PR13       27036460.435864
1225            PR13       27043380.234636
1230            PR13       27058500.036626
1235            PR13       27081890.513201
1240            PR13       27113562.588937
1245            PR13       27153482.461530
1250            PR13       27201566.299699
1255            PR13       27257686.064079
1260            PR13       27321663.468331
1265            PR13       27393278.340478
1270            PR13       27472269.142894
1275            PR13       27558329.596084
1280            PR13       27651118.838588
1285            PR13       27750258.089444
1290            PR13       27855336.679032
1295            PR13       27965913.951511
1300            PR13       28081523.733372
1305            PR13       28201672.542960
1310            PR13       28325849.179608
1315            PR13       28453527.941245
1320            PR13       28584159.716835
1325            PR13       28717196.422468
1330            PR13       28852073.887488
1335            PR13       28988218.694284
1340            PR13       29125070.529198
1345            PR13       29262050.322154
1350            PR13       29398596.633875
1355            PR13       29534144.772419
1360            PR13       29668139.810951
1365            PR13       29800036.162315
1370            PR13       29929296.526712
1375            PR13       30055403.458577
1380            PR13       30177842.687815
1385            PR13       30296127.355563
1390            PR13       30409783.027103
1395            PR13       30518351.381348
1400            PR13       30621396.048666
1405            PR13       30718503.486186
1410            PR13       30809274.789335
1415            PR13       30893342.919026
1420            PR13       30970353.676436
1425            PR13       31039985.458066
1430            PR13       31101929.116698
1435            PR13       31155912.528472
1440            PR13       31201681.365332
