TIME [s]   ID         DISTANCE [m]   
0          PR19       24484823.779464
5          PR19       24708734.895979
10         PR19       24927974.416410
15         PR19       25141996.722998
20         PR19       25350284.175151
25         PR19       25552358.106813
30         PR19       25747761.405784
35         PR19       25936079.709048
40         PR19       26116925.645202
45         PR19       26289935.587164
50         PR19       26454794.099623
55         PR19       26611208.818990
60         PR19       26758918.604167
65         PR19       26897694.658209
70         PR19       27027339.307685
75         PR19       27147695.608385
80         PR19       27258631.345008
85         PR19       27360037.901488
90         PR19       27451855.467923
95         PR19       27534045.856632
100        PR19       27606600.270954
105        PR19       27669548.443701
110        PR19       27722946.301310
115        PR19       27766882.117656
120        PR19       27801474.831462
125        PR19       27826874.962487
130        PR19       27843263.510420
135        PR19       27850851.793256
140        PR19       27849873.404018
145        PR19       27840607.177312
150        PR19       27823347.382216
155        PR19       27798422.911939
160        PR19       27766189.896352
165        PR19       27727029.387872
170        PR19       27681355.947048
175        PR19       27629597.926240
180        PR19       27572222.566770
185        PR19       27509714.269022
190        PR19       27442579.319554
195        PR19       27371348.154821
200        PR19       27296565.267184
205        PR19       27218806.326270
210        PR19       27138654.939000
215        PR19       27056707.573271
220        PR19       26973577.750827
225        PR19       26889888.244257
230        PR19       26806270.661050
235        PR19       26723364.107136
240        PR19       26641801.230651
245        PR19       26562223.365579
250        PR19       26485261.598524
255        PR19       26411545.354393
260        PR19       26341689.273112
265        PR19       26276293.094776
270        PR19       26215937.161216
275        PR19       26161185.933914
280        PR19       26112571.973120
285        PR19       26070602.170341
290        PR19       26035742.965481
295        PR19       26008432.893933
300        PR19       25989067.320774
305        PR19       25977996.716332
310        PR19       25975527.443845
315        PR19       25981916.154339
320        PR19       25997367.947279
325        PR19       26022039.531547
330        PR19       26056031.318188
335        PR19       26099390.545426
340        PR19       26152111.308173
345        PR19       26214132.004828
350        PR19       26285337.854990
355        PR19       26365563.023423
360        PR19       26454588.402365
365        PR19       26552152.044298
370        PR19       26657941.836140
375        PR19       26771602.927388
380        PR19       26892740.497029
385        PR19       27020922.780534
390        PR19       27155684.571991
395        PR19       27296529.584540
400        PR19       27442933.055655
405        PR19       27594349.764130
410        PR19       27750221.015908
415        PR19       27909956.840878
420        PR19       28072970.872064
425        PR19       28238659.288338
430        PR19       28406412.072684
435        PR19       28575620.316992
440        PR19       28745673.486589
445        PR19       28915961.953904
450        PR19       29085880.247492
455        PR19       29254839.556809
460        PR19       29422252.457788
465        PR19       29587546.116329
470        PR19       29750162.033953
475        PR19       29909555.010245
480        PR19       30065199.933495
485        PR19       30216591.244997
490        PR19       30363231.251269
495        PR19       30504664.058675
500        PR19       30640431.573386
505        PR19       30770118.071343
510        PR19       30893323.906691
515        PR19       31009667.327151
520        PR19       31118797.184207
525        PR19       31220388.322897
530        PR19       31314134.984127
535        PR19       31399768.023462
540        PR19       31477034.590736
545        PR19       31545704.528760
550        PR19       31605588.420395
555        PR19       31656514.773767
560        PR19       31698330.104299
565        PR19       31730924.680200
570        PR19       31754206.799885
575        PR19       31768104.632801
580        PR19       31772581.789514
585        PR19       31767628.787383
590        PR19       31753255.438331
595        PR19       31729497.522303
600        PR19       31696421.647672
605        PR19       31654118.410407
610        PR19       31602700.563872
615        PR19       31542304.756818
620        PR19       31473095.910036
625        PR19       31395258.791792
630        PR19       31308996.832131
635        PR19       31214549.532969
640        PR19       31112165.764691
645        PR19       31002122.434326
650        PR19       30884711.667069
655        PR19       30760250.537525
660        PR19       30629074.138092
665        PR19       30491533.666340
670        PR19       30347994.543988
675        PR19       30198851.203671
680        PR19       30044494.867819
685        PR19       29885349.112356
690        PR19       29721839.077536
695        PR19       29554405.340677
700        PR19       29383499.055723
705        PR19       29209575.237039
710        PR19       29033101.899070
