TIME [s]   DISTANCE [m]   
0          21199762.176922     
5          21156614.3046774    
10         21126878.3540937    
15         21110479.484925     
20         21107270.7022088    
25         21117019.9709677    
30         21139434.9423591    
35         21174147.5921537    
40         21220717.7051854    
45         21278654.8502705    
50         21347400.6817357    
55         21426354.4534732    
60         21514864.6593646    
65         21612246.81336      
70         21717779.9932748    
75         21830712.5890196    
80         21950280.6819656    
85         22075700.2791271    
90         22206178.6021801    
95         22340918.6229947    
100        22479125.4354709    
105        22620007.8447966    
110        22762786.4318634    
115        22906687.5783685    
120        23050961.7329251    
125        23194876.0120143    
130        23337717.1056961    
135        23478798.2821085    
140        23617458.2458929    
145        23753062.1395994    
150        23885004.3414905    
155        24012710.4112099    
160        24135635.5868592    
165        24253268.6436689    
170        24365131.6033785    
175        24470777.49162      
180        24569795.6176219    
185        24661807.9878061    
190        24746471.2523716    
195        24823477.291606     
200        24892552.1667305    
205        24953457.9445258    
210        25005989.0315444    
215        25049978.3342937    
220        25085291.6861438    
225        25111831.9440013    
230        25129534.2196985    
235        25138369.0356989    
240        25138344.7988323    
245        25129507.0546475    
250        25111923.5861254    
255        25085712.4603124    
260        25051018.7666693    
265        25008024.530299     
270        24956943.0842708    
275        24898023.9418003    
280        24831554.6477388    
285        24757851.8345836    
290        24677268.7729641    
295        24590186.1003768    
300        24497027.1995068    
305        24398240.6473466    
310        24294310.3031948    
315        24185743.6917308    
320        24073090.5329362    
325        23956921.6266578    
330        23837838.3117367    
335        23716469.3625783    
340        23593459.0974299    
345        23469489.6161275    
350        23345255.51771      
355        23221473.0953092    
360        23098864.1247221    
365        22978181.4197788    
370        22860168.5150161    
375        22745588.2181923    
380        22635197.7795672    
385        22529756.4764275    
390        22430006.3477964    
395        22336687.2415425    
400        22250516.6814143    
405        22172195.145982     
410        22102379.4848232    
415        22041710.9077281    
420        21990781.3199327    
425        21950136.0039476    
430        21920277.2519039    
435        21901644.6535424    
440        21894620.5278009    
445        21899532.6054107    
450        21916633.3475443    
455        21946112.7271064    
460        21988078.525478     
465        22042583.6744523    
470        22109601.1990012    
475        22189034.7159888    
480        22280718.9511532    
485        22384422.9781663    
490        22499852.0835147    
495        22626648.6599091    
500        22764406.4334734    
505        22912659.1435034    
510        23070902.4661207    
515        23238578.3581677    
520        23415109.0432541    
525        23599874.1224597    
530        23792230.5724934    
535        23991514.6467879    
540        24197048.6668699    
545        24408135.0789479    
550        24624084.0582876    
555        24844190.3278654    
560        25067758.2786045    
565        25294087.0650621    
570        25522498.0400052    
575        25752309.8207336    
580        25982863.123952     
585        26213508.4225803    
590        26443618.349165     
595        26672581.8850202    
600        26899809.0831923    
605        27124736.0025916    
610        27346818.6140502    
615        27565537.803683     
620        27780402.7499622    
625        27990941.3075627    
630        28196718.1101895    
635        28397317.3517671    
640        28592350.1467556    
645        28781460.7305478    
650        28964314.1484699    
655        29140611.2485307    
660        29310076.2304368    
665        29472455.9243713    
