TIME [min]      ID         DISTANCE [m]   
0               PE08       28190707.563131
5               PE08       28144426.267350
10              PE08       28099943.152241
15              PE08       28057067.589872
20              PE08       28015618.485034
25              PE08       27975402.445815
30              PE08       27936222.821474
35              PE08       27897879.564000
40              PE08       27860173.222136
45              PE08       27822901.623199
50              PE08       27785864.630456
55              PE08       27748859.641029
60              PE08       27711689.682910
65              PE08       27674161.704291
70              PE08       27636080.049053
75              PE08       27597256.787884
80              PE08       27557515.879817
85              PE08       27516679.372700
90              PE08       27474580.851403
95              PE08       27431055.246857
100             PE08       27385952.624331
105             PE08       27339131.823777
110             PE08       27290455.652361
115             PE08       27239805.982664
120             PE08       27187064.073759
125             PE08       27132135.031687
130             PE08       27074924.716105
135             PE08       27015359.951512
140             PE08       26953375.902027
145             PE08       26888919.435176
150             PE08       26821957.080934
155             PE08       26752456.876652
160             PE08       26680417.425591
165             PE08       26605840.369952
170             PE08       26528745.753055
175             PE08       26449162.719424
180             PE08       26367147.065240
185             PE08       26282755.713173
190             PE08       26196066.790807
195             PE08       26107179.788024
200             PE08       26016198.653058
205             PE08       25923251.856733
210             PE08       25828469.576591
215             PE08       25732010.944751
220             PE08       25634038.956021
225             PE08       25534740.927284
230             PE08       25434309.919593
235             PE08       25332958.828481
240             PE08       25230904.491841
245             PE08       25128382.927540
250             PE08       25025647.723579
255             PE08       24922954.122874
260             PE08       24820573.701707
265             PE08       24718788.046834
270             PE08       24617886.562966
275             PE08       24518163.009245
280             PE08       24419929.537537
285             PE08       24323495.609385
290             PE08       24229177.119966
295             PE08       24137297.447098
300             PE08       24048183.134524
305             PE08       23962152.828392
310             PE08       23879531.460954
315             PE08       23800646.061338
320             PE08       23725815.496458
325             PE08       23655351.266344
330             PE08       23589564.039726
335             PE08       23528750.378551
340             PE08       23473194.906000
345             PE08       23423179.148268
350             PE08       23378963.870728
355             PE08       23340795.432534
360             PE08       23308905.196679
365             PE08       23283497.388910
370             PE08       23264770.806569
375             PE08       23252886.586331
380             PE08       23247991.793125
385             PE08       23250210.994827
390             PE08       23259638.673082
395             PE08       23276344.515925
400             PE08       23300372.347478
405             PE08       23331742.186215
410             PE08       23370437.668883
415             PE08       23416425.419492
420             PE08       23469640.225711
425             PE08       23529992.734882
430             PE08       23597362.862998
435             PE08       23671610.308792
440             PE08       23752567.661753
445             PE08       23840039.31362 
450             PE08       23933819.274215
455             PE08       24033670.377715
460             PE08       24139342.647027
465             PE08       24250555.631273
470             PE08       24367028.915502
475             PE08       24488459.247568
480             PE08       24614521.131045
