TIME [min]      ID         DISTANCE [m]   
0               PG07       24176202.271005
5               PG07       24000467.475936
10              PG07       23828520.893301
15              PG07       23660756.944540
20              PG07       23497553.123031
25              PG07       23339269.095915
30              PG07       23186259.291310
35              PG07       23038851.081645
40              PG07       22897342.066222
45              PG07       22762021.345637
50              PG07       22633148.351952
55              PG07       22510948.031449
60              PG07       22395631.810091
65              PG07       22287363.880410
70              PG07       22186292.166449
75              PG07       22092529.781754
80              PG07       22006151.497611
85              PG07       21927207.986995
90              PG07       21855713.967186
95              PG07       21791644.713933
100             PG07       21734949.441974
105             PG07       21685550.285635
110             PG07       21643331.961899
115             PG07       21608146.439847
120             PG07       21579825.369881
125             PG07       21558168.385484
130             PG07       21542951.642999
135             PG07       21533927.204217
140             PG07       21530828.443120
145             PG07       21533361.505306
150             PG07       21541232.016495
155             PG07       21554111.871994
160             PG07       21571678.281702
165             PG07       21593586.739985
170             PG07       21619496.035885
175             PG07       21649045.738137
180             PG07       21681888.925443
185             PG07       21717667.846451
190             PG07       21756031.773509
195             PG07       21796627.421140
200             PG07       21839111.898490
205             PG07       21883154.852812
210             PG07       21928422.765327
215             PG07       21974603.264961
220             PG07       22021390.370439
225             PG07       22068497.254376
230             PG07       22115649.597284
235             PG07       22162581.604365
240             PG07       22209057.000739
245             PG07       22254850.213701
250             PG07       22299756.986658
255             PG07       22343589.028610
260             PG07       22386176.022537
265             PG07       22427379.858964
270             PG07       22467072.925344
275             PG07       22505152.437221
280             PG07       22541533.826707
285             PG07       22576158.764465
290             PG07       22608989.861321
295             PG07       22640012.763278
300             PG07       22669224.402761
305             PG07       22696661.217411
310             PG07       22722372.083348
315             PG07       22746421.699556
320             PG07       22768901.433421
325             PG07       22789927.367251
330             PG07       22809630.923976
335             PG07       22828162.298391
340             PG07       22845692.621378
345             PG07       22862410.017742
350             PG07       22878517.539068
355             PG07       22894240.280489
360             PG07       22909813.443458
365             PG07       22925488.304888
370             PG07       22941529.085244
375             PG07       22958211.012546
380             PG07       22975812.659950
385             PG07       22994635.270793
390             PG07       23014976.601514
395             PG07       23037137.859313
400             PG07       23061430.150813
405             PG07       23088162.193716
410             PG07       23117640.506469
415             PG07       23150171.539276
420             PG07       23186053.556373
425             PG07       23225578.209748
430             PG07       23269033.549472
435             PG07       23316693.533359
440             PG07       23368808.503144
445             PG07       23425628.633945
450             PG07       23487380.585267
455             PG07       23554271.788442
460             PG07       23626484.252223
465             PG07       23704181.047888
470             PG07       23787506.269133
475             PG07       23876574.064746
480             PG07       23971467.031637
485             PG07       24072252.012623
490             PG07       24178955.281399
495             PG07       24291587.656285
500             PG07       24410116.756679
505             PG07       24534493.451374
510             PG07       24664635.120853
515             PG07       24800434.277114
520             PG07       24941744.561475
525             PG07       25088411.535683
530             PG07       25240236.275050
535             PG07       25397009.266387
540             PG07       25558490.209830
545             PG07       25724415.639534
550             PG07       25894508.923135
555             PG07       26068469.904021
560             PG07       26245973.897191
565             PG07       26426696.683396
570             PG07       26610290.443522
575             PG07       26796388.991896
580             PG07       26984632.113687
585             PG07       27174642.839022
590             PG07       27366028.846499
595             PG07       27558407.950797
600             PG07       27751387.604552
605             PG07       27944574.862617
610             PG07       28137571.238283
615             PG07       28329988.700418
620             PG07       28521438.508611
625             PG07       28711532.120745
630             PG07       28899886.969252
635             PG07       29086136.770606
640             PG07       29269914.882286
645             PG07       29450861.570322
650             PG07       29628630.428513
655             PG07       29802891.496633
660             PG07       29973314.519750
665             PG07       30139589.369804
670             PG07       30301416.780136
675             PG07       30458515.759517
680             PG07       30610615.046087
685             PG07       30757457.144735
690             PG07       30898804.438189
695             PG07       31034431.278339
